linelist,teff,tefferr,logg,loggerr,feh,feherr,vt,vterr,loggastero,dloggastero,loggLC,dloggLC,convergence,fixteff,fixlogg,fixfeh,fixvt,outlier,weights,model,refine,EPcrit,RWcrit,ABdiffcrit
11 Com,4907,34,2.62,0.09,-0.23,0.03,1.56,0.04,2.81,0.09,2.97,0.09,True,False,False,False,False,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
14 And,4797,44,2.58,0.11,-0.23,0.03,1.58,0.04,2.81,0.11,2.98,0.11,True,False,False,False,False,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
42 Dra,4547,55,2.23,0.10,-0.31,0.03,1.54,0.05,2.56,0.10,2.74,0.10,True,False,False,False,False,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
Aldebaran,5279,223,4.53,0.40,0.14,0.12,3.05,0.41,4.58,0.41,4.71,0.41,False,False,False,False,False,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
BD-114672,4612,86,4.83,0.30,-0.23,0.02,0.08,0.08,5.14,0.30,5.31,0.30,True,False,False,False,True,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
GJ 785,5087,48,4.30,0.10,-0.01,0.03,0.69,0.10,4.42,0.10,4.57,0.10,True,False,False,False,False,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
HATS-1,5969,46,4.61,0.06,-0.04,0.04,1.06,0.08,4.39,0.06,4.47,0.06,True,False,False,False,False,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
HATS-5,5383,91,4.40,0.22,0.08,0.06,0.91,0.14,4.41,0.22,4.53,0.22,True,False,False,False,False,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
HAT-P-12,5526,126,5.00,0.23,-0.11,0.12,2.04,0.12,4.95,0.24,5.06,0.24,False,False,False,False,False,allOnce,null,kurucz95,True,0.001,0.003,0.01
HAT-P-24,6470,181,4.75,0.26,-0.41,0.10,1.40,0.03,4.33,0.27,4.38,0.27,True,False,False,False,True,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
HAT-P-39,6745,236,4.91,0.46,-0.21,0.12,1.53,0.04,4.39,0.47,4.42,0.47,True,False,False,False,True,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
HAT-P-42,5903,66,4.29,0.10,0.34,0.05,1.19,0.08,4.09,0.10,4.18,0.10,True,False,False,False,False,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
HAT-P-46,6421,121,4.53,0.14,0.16,0.09,1.67,0.18,4.13,0.15,4.19,0.15,True,False,False,False,False,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
HD 102272,4889,30,2.72,0.07,-0.30,0.02,1.57,0.04,2.92,0.07,3.08,0.07,True,False,False,False,False,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
HD 104985,4809,48,2.73,0.08,-0.26,0.04,1.65,0.05,2.96,0.08,3.12,0.08,True,False,False,False,False,allOnce,null,kurucz95,True,0.0003,0.001,0.0033
